school_id,district,facility,enrollment,school_compliance,compliance_bin,protection,protection_bin
A470980030262005,Prophetstown-Lyndon-Tampico CUSD3,Tampico Elem School,222,100.00%,100%,97.75%,90-97.9%
A470980030262006,Prophetstown-Lyndon-Tampico CUSD3,Prophetstown Elem School,215,100.00%,100%,98.60%,98-99.9%
A47098004X100000,Lee/Ogle/Whiteside ROE,St Andrews,122,99.18%,98-99.9%,100.00%,100%
A470980050260014,Sterling CUSD 5,Sterling High School,1069,100.00%,100%,99.35%,98-99.9%
A470980050261006,Sterling CUSD 5,Challand Middle School,774,99.61%,98-99.9%,98.71%,98-99.9%
A470980050262005,Sterling CUSD 5,Franklin Elem School,409,100.00%,100%,97.80%,90-97.9%
A470980050262007,Sterling CUSD 5,Jefferson Elem School,391,99.74%,98-99.9%,98.21%,98-99.9%
A470980050262008,Sterling CUSD 5,Lincoln Elem School,367,100.00%,100%,98.64%,98-99.9%
A470980050262010,Sterling CUSD 5,Washington Elem School,367,100.00%,100%,98.37%,98-99.9%
A47098005X100000,Lee/Ogle/Whiteside ROE,St Mary,165,100.00%,100%,98.79%,98-99.9%
A470980060260001,Morrison CUSD 6,Morrison High School,260,98.85%,98-99.9%,100.00%,100%
A470980060261001,Morrison CUSD 6,Morrison Jr High School,267,100.00%,100%,100.00%,100%
A470980060262002,Morrison CUSD 6,Northside School,259,100.00%,100%,98.46%,98-99.9%
A470980060262003,Morrison CUSD 6,Southside School,240,100.00%,100%,99.58%,98-99.9%
A47098012X060000,Lee/Ogle/Whiteside ROE,Christ Lutheran School,104,100.00%,100%,91.35%,90-97.9%
A470980130021004,Rock Falls ESD 13,Rock Falls Middle School,322,99.07%,98-99.9%,99.69%,98-99.9%
A470980130022001,Rock Falls ESD 13,Dillon Elementary School,295,100.00%,100%,98.64%,98-99.9%
A470980130022002,Rock Falls ESD 13,Merrill Elem School,315,100.00%,100%,98.10%,98-99.9%
